RadioId;Experiment;Room;TrackerId;ObjectId;Xr;Yr;Zr;Xrgt;Yrgt;Zrgt
195;25_26_27;LivingRoom;F;Vase.006;-1.951;-0.741;0.932;-2.09;-0.953;0.866
196;25_26_27;Bathroom;G;Sink;-5.242;-1.019;-0.176;-4.68;-0.967;0.726
197;25_26_27;Bathroom;H;Toilet;-5.532;-0.093;0.21;-5.983;-0.403;0.467
198;25_26_27;Kitchen;I;Sink.001;-8.962;3.59;0.392;-8.803;3.63;0.708
199;25_26_27;Kitchen;J;Shelf.003;-7.366;2.718;1.906;-7.674;2.667;1.837
200;25_26_27;Bedroom;K;Lamp.019;-7.612;0.079;0.233;-7.726;0.053;0.348
201;26_27_28;LivingRoom;D;Chair;-1.163;-0.264;0.836;-1.244;-0.377;0.557
202;26_27_28;LivingRoom;E;Table.001;-1.255;0.798;0.406;-1.196;0.731;0.348
203;26_27_28;LivingRoom;F;Vase.006;-1.92;-0.708;1.034;-2.09;-0.953;0.866
204;26_27_28;Bathroom;G;Sink;-5.083;-1.033;0.076;-4.68;-0.967;0.726
205;26_27_28;Bathroom;H;Toilet;-5.524;-0.161;0.204;-5.983;-0.403;0.467
206;26_27_28;Kitchen;I;Sink.001;-8.976;3.584;0.379;-8.803;3.63;0.708
207;26_27_28;Kitchen;J;Shelf.003;-7.381;2.735;1.918;-7.674;2.667;1.837
208;26_27_28;Bedroom;K;Lamp.019;-7.603;0.055;0.207;-7.726;0.053;0.348
209;27_28_29;LivingRoom;D;Chair;-1.139;-0.259;0.888;-1.244;-0.377;0.557
210;27_28_29;LivingRoom;E;Table.001;-1.237;0.788;0.4;-1.196;0.731;0.348
211;27_28_29;LivingRoom;F;Vase.006;-1.985;-0.765;0.952;-2.09;-0.953;0.866
212;27_28_29;Bathroom;G;Sink;-5.095;-0.971;-0.171;-4.68;-0.967;0.726
213;27_28_29;Bathroom;H;Toilet;-5.574;-0.168;0.183;-5.983;-0.403;0.467
214;27_28_29;Kitchen;I;Sink.001;-8.948;3.592;0.431;-8.803;3.63;0.708
215;27_28_29;Kitchen;J;Shelf.003;-8.08;2.9;0.271;-7.674;2.667;1.837
216;27_28_29;Bedroom;K;Lamp.019;-7.617;0.041;0.18;-7.726;0.053;0.348
217;28_29_30;LivingRoom;D;Chair;-1.157;-0.25;0.858;-1.244;-0.377;0.557
218;28_29_30;LivingRoom;E;Table.001;-1.246;0.791;0.443;-1.196;0.731;0.348
219;28_29_30;LivingRoom;F;Vase.006;-1.942;-0.751;1.03;-2.09;-0.953;0.866
220;28_29_30;Bathroom;G;Sink;-5.301;-1.006;-0.274;-4.68;-0.967;0.726
221;28_29_30;Bathroom;H;Toilet;-5.572;-0.103;0.149;-5.983;-0.403;0.467
222;28_29_30;Kitchen;I;Sink.001;-9.216;3.387;1.477;-8.803;3.63;0.708
223;28_29_30;Kitchen;J;Shelf.003;-7.377;2.74;1.9;-7.674;2.667;1.837
224;28_29_30;Bedroom;K;Lamp.019;-7.623;0.033;0.21;-7.726;0.053;0.348
225;29_30_31;LivingRoom;D;Chair;-1.134;-0.241;0.935;-1.244;-0.377;0.557
226;29_30_31;LivingRoom;E;Table.001;-1.236;0.78;0.423;-1.196;0.731;0.348
227;29_30_31;LivingRoom;F;Vase.006;-1.945;-0.752;0.938;-2.09;-0.953;0.866
228;29_30_31;Bathroom;G;Sink;-5.123;-1.036;-0.038;-4.68;-0.967;0.726
229;29_30_31;Bathroom;H;Toilet;-5.557;-0.152;0.195;-5.983;-0.403;0.467
230;29_30_31;Kitchen;I;Sink.001;-8.987;3.985;1.178;-8.803;3.63;0.708
231;29_30_31;Kitchen;J;Shelf.003;-7.392;2.724;1.87;-7.674;2.667;1.837
232;29_30_31;Bedroom;K;Lamp.019;-7.596;0.064;0.136;-7.726;0.053;0.348
